"","logoil_gas_valuePOP_2000","polity_2000","me_nafr"
"1",2.68093276023865,-4.375,"All other regions"
"2",6.01013135910034,-2.45454549789429,"All other regions"
"3",3.07777452468872,4.90909099578857,"All other regions"
"4",8.91887187957764,-8,"North Africa/Middle East"
"5",5.62061643600464,7.45454549789429,"All other regions"
"6",5.97369146347046,10,"All other regions"
"7",3.70621705055237,10,"All other regions"
"8",5.66584491729736,-6,"All other regions"
"9",0.0159011222422123,10,"All other regions"
"10",0.957094013690948,6,"All other regions"
"11",2.04364657402039,6,"All other regions"
"12",0.724456191062927,8.27272701263428,"All other regions"
"13",7.65769720077515,-8.54545497894287,"North Africa/Middle East"
"14",3.46664953231812,-3.81818175315857,"All other regions"
"15",4.36140727996826,8.90909099578857,"All other regions"
"16",3.95935750007629,8,"All other regions"
"17",3.65214490890503,8.14999961853027,"All other regions"
"18",8.97586441040039,-5.3600001335144,"All other regions"
"19",7.06484365463257,10,"All other regions"
"20",0.0259830970317125,10,"All other regions"
"21",2.77857255935669,8.3636360168457,"All other regions"
"22",3.11342859268188,-7,"All other regions"
"23",0.0208651404827833,-2.72727274894714,"All other regions"
"24",4.04690837860107,-4,"All other regions"
"25",6.35740756988525,-1.54545450210571,"All other regions"
"26",4.88305234909058,7.36363649368286,"All other regions"
"27",3.44392895698547,-7,"All other regions"
"28",1.70289480686188,10,"All other regions"
"29",3.35235476493835,10,"All other regions"
"30",6.21840858459473,10,"All other regions"
"31",6.26760721206665,-3.72727274894714,"North Africa/Middle East"
"32",5.5630841255188,7.81818199157715,"All other regions"
"33",4.8154673576355,-6,"North Africa/Middle East"
"34",1.33980190753937,10,"All other regions"
"35",2.30151200294495,9,"All other regions"
"36",7.66365480422974,-4,"All other regions"
"37",6.18617296218872,10,"All other regions"
"38",1.47972905635834,4.81818199157715,"All other regions"
"39",1.12396395206451,2.27272725105286,"All other regions"
"40",7.25895643234253,-5,"All other regions"
"41",1.80462944507599,10,"All other regions"
"42",2.60606527328491,6.63636350631714,"All other regions"
"43",4.44736576080322,0.272727280855179,"All other regions"
"44",4.0687837600708,10,"All other regions"
"45",4.51069355010986,-0.454545468091965,"All other regions"
"46",2.17939853668213,8.81818199157715,"All other regions"
"47",3.92440962791443,10,"All other regions"
"48",6.2720832824707,-0.272727280855179,"North Africa/Middle East"
"49",6.24309110641479,-9,"North Africa/Middle East"
"50",0.325743973255157,9.45454502105713,"All other regions"
"51",3.8150532245636,10,"All other regions"
"52",0.0723448321223259,-2,"North Africa/Middle East"
"53",1.26540195941925,10,"All other regions"
"54",5.87545013427734,-4.18181800842285,"All other regions"
"55",1.48648142814636,-3,"All other regions"
"56",2.4868791103363,0.818181812763214,"All other regions"
"57",9.07159233093262,-7,"North Africa/Middle East"
"58",7.67199373245239,-7,"North Africa/Middle East"
"59",2.40882253646851,10,"All other regions"
"60",0.178132995963097,-6.45454549789429,"North Africa/Middle East"
"61",5.7463321685791,5.63636350631714,"All other regions"
"62",2.36426854133606,-7,"All other regions"
"63",6.0391321182251,3.18181824684143,"All other regions"
"64",5.00411081314087,-1.18181812763214,"All other regions"
"65",6.04245948791504,10,"All other regions"
"66",8.73448753356934,10,"All other regions"
"67",5.39288234710693,10,"All other regions"
"68",8.07569313049316,-8.81818199157715,"North Africa/Middle East"
"69",2.89552879333496,1.63636362552643,"All other regions"
"70",3.63262128829956,3.40000009536743,"All other regions"
"71",0.297207862138748,8,"All other regions"
"72",4.84458017349243,10,"All other regions"
"73",2.58525609970093,9,"All other regions"
"74",9.40778636932373,-10,"North Africa/Middle East"
"75",4.67686700820923,7.18181800842285,"All other regions"
"76",6.5558934211731,5.09090900421143,"All other regions"
"77",0.00384847656823695,-5.18181800842285,"All other regions"
"78",8.18413543701172,-10,"North Africa/Middle East"
"79",2.99675250053406,-6.81818199157715,"All other regions"
"80",5.0073070526123,8.14999961853027,"All other regions"
"81",1.59374403953552,8.09090900421143,"All other regions"
"82",1.69285798072815,10,"All other regions"
"83",3.88872075080872,10,"All other regions"
"84",5.70367813110352,-8.27272701263428,"North Africa/Middle East"
"85",3.63300251960754,9,"All other regions"
"86",0.750456809997559,-3.36363625526428,"All other regions"
"87",6.91649913787842,-9,"All other regions"
"88",7.37219667434692,9.6363639831543,"All other regions"
"89",4.41347455978394,-3.18181824684143,"North Africa/Middle East"
"90",2.35021328926086,7.36363649368286,"All other regions"
"91",0.297882080078125,10,"All other regions"
"92",3.94255995750427,6.72727251052856,"All other regions"
"93",5.99608612060547,10,"All other regions"
"94",5.48180913925171,-9,"All other regions"
"95",7.09634208679199,7.27272748947144,"All other regions"
"96",3.26574897766113,-7,"All other regions"
"97",5.10697793960571,-2,"North Africa/Middle East"
"98",2.83119630813599,-1.72727274894714,"All other regions"
"99",1.5622798204422,0,"All other regions"
